CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/19/2016,13:00,,,,,,,,101       EAST DRIVE                    ,2,0,0,0,2,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3544276,Bike,Bike,,,
10/19/2016,11:15,MANHATTAN,10075,40.77207,-73.94994,"(40.77207, -73.94994)",YORK AVENUE                     ,EAST 80 STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3543580,Station Wagon/Sport Utility Vehicle,,,,
10/19/2016,13:00,QUEENS,11355,40.758675,-73.82909,"(40.758675, -73.82909)",,,136-21    41 AVENUE                     ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3543041,Sedan,Sedan,,,
10/19/2016,9:00,BRONX,10461,40.84169,-73.84009,"(40.84169, -73.84009)",WESTCHESTER AVENUE              ,LITTLE LEAGUE PLACE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3543200,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
10/19/2016,20:30,,,40.66654,-73.99509,"(40.66654, -73.99509)",PROSPECT EXPRESSWAY EAST        ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3543732,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
10/19/2016,21:30,BROOKLYN,11206,40.707676,-73.9328,"(40.707676, -73.9328)",,,411       JOHNSON AVENUE                ,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,Unspecified,,,3543410,Box Truck,Station Wagon/Sport Utility Vehicle,Sedan,,
10/19/2016,16:00,QUEENS,11363,40.765358,-73.74429,"(40.765358, -73.74429)",NORTHERN BOULEVARD              ,DOUGLASTON PARKWAY,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3543220,Sedan,Station Wagon/Sport Utility Vehicle,,,
10/19/2016,8:30,,,40.667236,-73.770004,"(40.667236, -73.770004)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Following Too Closely,Unspecified,,,3543321,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
10/19/2016,12:10,,,40.89165,-73.86453,"(40.89165, -73.86453)",BRONX RIVER PARKWAY             ,,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3543068,Sedan,Sedan,,,
10/19/2016,14:55,QUEENS,11373,40.734604,-73.864784,"(40.734604, -73.864784)",,,59-17     JUNCTION BOULEVARD            ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3543385,Station Wagon/Sport Utility Vehicle,Sedan,,,
